original_filename,final_relative_path,size,sha256,width_px,height_px,classification,display_priority,description,provenance
9Dtact原理图.png,03_Hardware/08_Renders_and_Photos/Technical_Diagrams/9dtact_system_architecture.png,272396,f3161ae9320435fa579cd978bc1660d2fe9ed3bc778d644b8ecee17c03954095,1383,588,Technical_Diagram,Supporting,9DTact processing and force-estimation architecture diagram.,Author project image source folder; source file retained unchanged
LEDpcb板.jpg,03_Hardware/07_PCB_and_Electronics/Photos/led_pcb_and_camera.jpg,1876689,4185d9fc3a4efe7c8ed4729a520de2f50fa6f8fe71161c425d6ba4d7af62d821,4032,3024,Electronics_Photo,Key,LED PCB and camera illumination hardware close-up.,Author project image source folder; source file retained unchanged
三层硅胶的意义.png,03_Hardware/08_Renders_and_Photos/Technical_Diagrams/three_layer_silicone_concept.png,307098,de7384003eab089e6f06e533684f9cfe5ff318552175d977d947707865359f13,1170,607,Technical_Diagram,Key,Three-layer silicone optical and deformation concept diagram.,Author project image source folder; source file retained unchanged
传感器基本结构原理图.png,03_Hardware/08_Renders_and_Photos/Technical_Diagrams/sensor_optical_structure.png,1814916,2fb8f37576233d76691a3ef0544677e4c97d707047666603721e0ab17027142d,1448,1086,Technical_Diagram,Key,Custom tactile sensor optical structure and image formation diagram.,Author project image source folder; source file retained unchanged
传感器电子元件集合.jpg,03_Hardware/07_PCB_and_Electronics/Photos/sensor_electronics_components.jpg,2063344,8fe513b7ab02fa9a2e60d9a8b885eab474e902e3d4c2db0d29a29a176b6334b6,4032,3024,Electronics_Photo,Key,"OV5640-style camera module, LED PCB and USB interface board.",Author project image source folder; source file retained unchanged
全新传感器和FT300六维力传感器装配进行传感器力标定的结构.jpg,03_Hardware/08_Renders_and_Photos/Test_Setups/sensor_ft300_calibration_fixture.jpg,1954955,8012360661a60c4bd08a90a70e13fc570db9b8c1e0b18f0ab0b4e78c217a6ae2,4032,3024,FT300_Test_Setup,Key,Custom tactile sensor mounted on the FT300 mechanical test structure.,Author project image source folder; source file retained unchanged
多层注胶模具用胶枪封缝防漏液.jpg,03_Hardware/09_Manufacturing_Notes/Process_Photos/mold_hot_glue_sealing.jpg,1897101,ac96b3e2538363a030a4811795b967033dfe42c25ecd296c2648d7fcaf44bc5b,4032,3024,Manufacturing_Process,Supporting,Injection-mold perimeter sealing with hot glue before silicone casting.,Author project image source folder; source file retained unchanged
多层注胶模具的创新.jpg,03_Hardware/09_Manufacturing_Notes/Process_Photos/multi_layer_casting_molds.jpg,2443928,312e085961e9c596c978e5ad3d5b333ab7a2b4552f2fa9ba6279f5830b65b14d,4032,3024,Manufacturing_Process,Key,Two assembled multi-layer silicone casting molds.,Author project image source folder; source file retained unchanged
工件打印.jpg,03_Hardware/09_Manufacturing_Notes/Process_Photos/printed_mold_and_housing_parts.jpg,2730447,eddb064eaf2338c64e9604c441dc73500556dcfd391ec0225bc9a96317898e93,4032,3024,Manufacturing_Process,Supporting,Collection of 3D-printed mold and housing components.,Author project image source folder; source file retained unchanged
最终全新传感器的装配完整产品图.jpg,03_Hardware/08_Renders_and_Photos/Completed_Hardware/completed_dual_custom_sensors.jpg,3007483,9ad80b064d03d74f02efb7f946442e12a19fa8622a0ac83fe0ac9737cfff8da8,4032,3024,Completed_Hardware,Key,Two completed custom tactile sensors with camera cables.,Author project image source folder; source file retained unchanged
